Nº_Distrito;Nombre_distrito;NOMBRE_ESPECIE;Nº_Unidades 2025;
19;VICALVARO;Melia azedarach;1122;
19;VICALVARO;Otros;14851;
20;SAN BLAS - CANILLEJAS;Platanus x hispanica;7899;
20;SAN BLAS - CANILLEJAS;Pinus halepensis;4647;
20;SAN BLAS - CANILLEJAS;Pinus pinea;3806;
20;SAN BLAS - CANILLEJAS;Celtis australis;2974;
20;SAN BLAS - CANILLEJAS;Acer negundo;1641;
20;SAN BLAS - CANILLEJAS;Ulmus pumila;1475;
20;SAN BLAS - CANILLEJAS;Robinia pseudoacacia;1462;
20;SAN BLAS - CANILLEJAS;Aesculus hippocastanum;1404;
20;SAN BLAS - CANILLEJAS;Melia azedarach;1082;
20;SAN BLAS - CANILLEJAS;Styphnolobium japonicum;1008;
20;SAN BLAS - CANILLEJAS;Ulmus sp;1006;
20;SAN BLAS - CANILLEJAS;Otros;16140;
21;BARAJAS;Platanus x hispanica;3335;
21;BARAJAS;Celtis australis;1014;
21;BARAJAS;Pinus pinea;781;
21;BARAJAS;Catalpa bignonioides;676;
21;BARAJAS;Melia azedarach;676;
21;BARAJAS;Ulmus pumila;632;
21;BARAJAS;Styphnolobium japonicum;617;
21;BARAJAS;Pinus halepensis;613;
21;BARAJAS;Robinia pseudoacacia;567;
21;BARAJAS;Cupressus sempervirens;564;
21;BARAJAS;Pyrus calleryana 'Chanticleer';466;
21;BARAJAS;Ligustrum japonicum;421;
21;BARAJAS;Otros;7096;
;;;;
